GATE_START 2026-08-11T08:47:18+00:00 rev=a517402 scope=midlayer
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 281  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2388  references_of
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2405  pdb_of
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2474  device_default_vas
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2486  mappings
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2504  backing_of
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2519  map_ref_count
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2526  map_ref_count_of
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2533  events_of
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2543  dups
   ORPHAN  crates/kayfabe-core/src/rmgraph.rs:2583  gpu_of
   ORPHAN  crates/kayfabe-crec/src/format.rs:68  from_wire
   ORPHAN  crates/kayfabe-crec/src/format.rs:84  name
   ORPHAN  crates/kayfabe-crec/src/format.rs:125  to_event
   ORPHAN  crates/kayfabe-crec/src/format.rs:205  hermetic
   ORPHAN  crates/kayfabe-crec/src/format.rs:212  rom_overlay
   ORPHAN  crates/kayfabe-crec/src/format.rs:293  parse
   ORPHAN  crates/kayfabe-crec/src/format.rs:383  header
   ORPHAN  crates/kayfabe-crec/src/format.rs:389  records
   ORPHAN  crates/kayfabe-crec/src/format.rs:397  closed_cleanly
   ORPHAN  crates/kayfabe-crec/src/format.rs:404  census
   ORPHAN  crates/kayfabe-crec/src/format.rs:427  to_records
   ORPHAN  crates/kayfabe-crec/src/format.rs:444  has_overlay
   ORPHAN  crates/kayfabe-crec/src/ga10x.rs:49  new
   ORPHAN  crates/kayfabe-crec/src/ledger.rs:38  id
   ORPHAN  crates/kayfabe-crec/src/ledger.rs:174  by_id
   ORPHAN  crates/kayfabe-crec/src/ledger.rs:189  unexplained
   ORPHAN  crates/kayfabe-crec/src/ledger.rs:199  beyond_closure
   ORPHAN  crates/kayfabe-crec/src/lib.rs:132  bench_abi
   ORPHAN  crates/kayfabe-crec/src/lib.rs:194  served_policy
   ORPHAN  crates/kayfabe-crec/src/lib.rs:231  cap1_path
   ORPHAN  crates/kayfabe-crec/src/lib.rs:244  load_cap1
   ORPHAN  crates/kayfabe-crec/src/lib.rs:269  cap1b_path
   ORPHAN  crates/kayfabe-crec/src/lib.rs:282  load_cap1b
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:170  new
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:193  reconstruct
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:201  reconstructions
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:207  bind_pointers
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:213  observe
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:219  seek
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:226  max_lookahead
   ORPHAN  crates/kayfabe-crec/src/oracle.rs:232  answer_census
   ORPHAN  crates/kayfabe-crec/src/replay.rs:100  census
   ORPHAN  crates/kayfabe-crec/src/replay.rs:241  new
   ORPHAN  crates/kayfabe-crec/src/replay.rs:259  with_policy
   ORPHAN  crates/kayfabe-crec/src/replay.rs:265  run
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:206  intersect
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:603  fan_out
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:609  deliveries_for
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:658  new
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:671  object_count
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:679  add_view
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:713  map_into_view
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:789  remove_view
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:801  viewer_kind
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:823  pending_len
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:831  viewers
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:879  contents
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:1025  plan
   ORPHAN  crates/kayfabe-mmu/src/gpga.rs:1091  apply
   ORPHAN  crates/kayfabe-mmu/src/lib.rs:675  audit_identity
   ORPHAN  crates/kayfabe-mmu/src/reach.rs:246  root
   ORPHAN  crates/kayfabe-mmu/src/reach.rs:312  is_empty
   ORPHAN  crates/kayfabe-mmu/src/reach.rs:324  sparse_at
   ORPHAN  crates/kayfabe-mmu/src/reach.rs:515  confirm_bind
   ORPHAN  crates/kayfabe-mmu/src/reach.rs:520  confirm_unbind
   ORPHAN  crates/kayfabe-mmu/src/walker.rs:780  leaf_disposition
   ORPHAN  crates/kayfabe-mmu/src/walker.rs:870  populate

== orphan gate: 154 of 281 checked have no caller outside their own crate
   crates/kayfabe-arch/src/gsp.rs:378  kind
   crates/kayfabe-arch/src/gsp.rs:468  len
   crates/kayfabe-arch/src/gsp.rs:474  is_empty
   crates/kayfabe-arch/src/gsp.rs:479  iter
   crates/kayfabe-arch/src/gsp.rs:610  window_len
   crates/kayfabe-arch/src/lib.rs:333  name
   crates/kayfabe-arch/src/lib.rs:1359  reset
   crates/kayfabe-chips/src/ad10x.rs:153  new
   crates/kayfabe-chips/src/ad10x.rs:162  at
   crates/kayfabe-chips/src/ad10x.rs:339  new
   crates/kayfabe-chips/src/ga10x.rs:419  decode_userd_index_chid
   crates/kayfabe-chips/src/ga10x.rs:470  decode_work_submit_token
   crates/kayfabe-chips/src/ga10x.rs:525  encode_work_submit_token
   crates/kayfabe-chips/src/gh100.rs:358  new
   crates/kayfabe-chips/src/gh100.rs:515  new
   crates/kayfabe-chips/src/gh100.rs:524  at
   crates/kayfabe-chips/src/gh100.rs:721  new
   crates/kayfabe-completion/src/lib.rs:139  outstanding_len
   crates/kayfabe-completion/src/lib.rs:145  has_outstanding
   crates/kayfabe-completion/src/lib.rs:151  compose_into
   crates/kayfabe-completion/src/lib.rs:158  drained
