GATE_START 2026-08-11T08:42:48+00:00 rev=a517402 scope=tail
== baseline: cargo check --workspace
   baseline OK
== candidates enumerated: 533  (inherent `pub fn` only; trait methods are out of scope)
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:345  mock
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:496  method
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:502  set_object
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:516  ce_launch_dma
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:523  ce_launch_dma_full
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:552  sem_release
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:566  tlb_invalidate
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:791  encode_leaf
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:803  encode_pde
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:822  encode_dual_pde
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1067  declare_device_mmio
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1084  declare_unbacked
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1090  regions
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1118  advance
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1125  ram_read
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1519  exact
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1529  on_isolate
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1573  new
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1582  is_pending
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1609  wait_until_pending
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1648  cancel_request_seen
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1654  abandon_seen
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:1659  release
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2020  held_by
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2026  queued
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2032  waits
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2040  wait_until_blocked
   ORPHAN  crates/kayfabe-mocks/src/lib.rs:2104  slow_fuzz_enabled
