# tag	field	nvkvm-pv	driver-matrix	verdict
535.43.19	nvos46_size	56	56	agree
535.43.19	nvos46_status_off	48	48	agree
535.43.20	uvm_map_ext_size	1200	1200	agree
535.43.20	uvm_map_ext_fd_off	1184	1184	agree
535.43.20	uvm_sem_pool_size	1184	1184	agree
535.43.20	uvm_register_gpu_size	40	40	agree
535.43.20	uvm_register_gpu_fd_off	24	24	agree
535.43.20	uvm_register_gpu_status_off	36	36	agree
535.43.20	uvm_register_gpu_hclient_off	28	28	agree
535.43.20	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.20	chan_alloc_size	360	360	agree
535.43.20	vaspace_alloc_size	48	48	agree
535.43.20	mem_alloc_size	120	120	agree
535.43.20	nv00de_alloc_size	4	4	agree
535.43.20	nvos46_size	56	56	agree
535.43.20	nvos46_status_off	48	48	agree
535.43.22	uvm_map_ext_size	1200	1200	agree
535.43.22	uvm_map_ext_fd_off	1184	1184	agree
535.43.22	uvm_sem_pool_size	1184	1184	agree
535.43.22	uvm_register_gpu_size	40	40	agree
535.43.22	uvm_register_gpu_fd_off	24	24	agree
535.43.22	uvm_register_gpu_status_off	36	36	agree
535.43.22	uvm_register_gpu_hclient_off	28	28	agree
535.43.22	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.22	chan_alloc_size	360	360	agree
535.43.22	vaspace_alloc_size	48	48	agree
535.43.22	mem_alloc_size	120	120	agree
535.43.22	nv00de_alloc_size	4	4	agree
535.43.22	nvos46_size	56	56	agree
535.43.22	nvos46_status_off	48	48	agree
535.43.23	uvm_map_ext_size	1200	1200	agree
535.43.23	uvm_map_ext_fd_off	1184	1184	agree
535.43.23	uvm_sem_pool_size	1184	1184	agree
535.43.23	uvm_register_gpu_size	40	40	agree
535.43.23	uvm_register_gpu_fd_off	24	24	agree
535.43.23	uvm_register_gpu_status_off	36	36	agree
535.43.23	uvm_register_gpu_hclient_off	28	28	agree
535.43.23	uvm_register_gpu_hsmcpart_off	32	32	agree
535.43.23	chan_alloc_size	360	360	agree
