# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].deviceBroadcastPriBase	535.309.01	555.42.02	ABSENT
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].deviceBroadcastPriBase	560.28.03	615.71.09	44+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].devicePriBase	535.309.01	615.71.09	20+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].faultId	535.309.01	615.71.09	4+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].ginTargetId	535.309.01	555.42.02	ABSENT
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].ginTargetId	560.28.03	615.71.09	40+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].groupId	535.309.01	615.71.09	36+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].groupLocalInstanceId	535.309.01	560.28.03	ABSENT
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].groupLocalInstanceId	565.57.01	615.71.09	48+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].instanceId	535.309.01	615.71.09	8+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].isEngine	535.309.01	615.71.09	24+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].resetId	535.309.01	615.71.09	16+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].rlEngId	535.309.01	615.71.09	28+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].runlistPriBase	535.309.01	615.71.09	32+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.deviceInfoTable[].typeEnum	535.309.01	615.71.09	12+4
field	NV2080_CTRL_INTERNAL_GET_DEVICE_INFO_TABLE_PARAMS.numEntries	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS	535.309.01	615.71.09	0+16
field	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS.nonReplayableFaultBufferSize	535.309.01	615.71.09	8+4
field	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS.nonReplayableShadowFaultBufferMetadataSize	535.309.01	615.71.09	12+4
field	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS.replayableFaultBufferSize	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_GMMU_GET_STATIC_INFO_PARAMS.replayableShadowFaultBufferMetadataSize	535.309.01	615.71.09	4+4
sizeof	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS	535.309.01	615.71.09	0+24032
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.faultBufferSharedMemoryPhysAddr	535.309.01	615.71.09	24024+8
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferMetadataSize	535.309.01	615.71.09	12+4
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferPteArray	535.309.01	615.71.09	16+24000@8
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferQueuePhysAddr	535.309.01	615.71.09	0+8
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferSize	535.309.01	615.71.09	8+4
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferType	535.309.01	615.71.09	24016+4
sizeof	NV2080_CTRL_INTERNAL_GMMU_REGISTER_FAULT_BUFFER_PARAMS	535.309.01	615.71.09	0+2064
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_FAULT_BUFFER_PARAMS.faultBufferPteArray	535.309.01	615.71.09	16+2048@8
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_FAULT_BUFFER_PARAMS.faultBufferSize	535.309.01	615.71.09	8+4
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_FAULT_BUFFER_PARAMS.hClient	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_GMMU_REGISTER_FAULT_BUFFER_PARAMS.hObject	535.309.01	615.71.09	4+4
sizeof	NV2080_CTRL_INTERNAL_GMMU_UNREGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_GMMU_UNREGISTER_CLIENT_SHADOW_FAULT_BUFFER_PARAMS.shadowFaultBufferType	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS	535.309.01	545.23.08	0+92
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS	550.40.07	610.57.04	0+88
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.bar1Size	535.309.01	545.23.08	12+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.bar1Size	550.40.07	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.chipSubRev	535.309.01	610.57.04	0+1
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.chipSubRev	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.emulationRev1	535.309.01	610.57.04	4+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.emulationRev1	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.isCmpSku	535.309.01	610.57.04	8+1
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.isCmpSku	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciDeviceId	535.309.01	545.23.08	16+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciDeviceId	550.40.07	610.57.04	12+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciDeviceId	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciRevisionId	535.309.01	545.23.08	24+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciRevisionId	550.40.07	610.57.04	20+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciRevisionId	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciSubDeviceId	535.309.01	545.23.08	20+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciSubDeviceId	550.40.07	610.57.04	16+4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.pciSubDeviceId	615.71.09	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.regBases	535.309.01	545.23.08	28+64@4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.regBases	550.40.07	610.57.04	24+64@4
field	NV2080_CTRL_INTERNAL_GPU_GET_CHIP_INFO_PARAMS.regBases	615.71.09	615.71.09	ABSENT
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_SMC_MODE_PARAMS	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_GPU_GET_SMC_MODE_PARAMS.smcMode	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS	535.309.01	595.84	0+8204
sizeof	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS	610.43.02	615.71.09	0+20492
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.compressedData	535.309.01	595.84	8+4096@1
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.compressedData	610.43.02	615.71.09	8+16384@1
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.compressedSize	535.309.01	615.71.09	4+4
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.profilingRanges	535.309.01	595.84	4108+4096@1
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.profilingRanges	610.43.02	615.71.09	16396+4096@1
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.profilingRangesSize	535.309.01	595.84	4104+4
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.profilingRangesSize	610.43.02	615.71.09	16392+4
field	NV2080_CTRL_INTERNAL_GPU_GET_USER_REGISTER_ACCESS_MAP_PARAMS.userRegisterAccessMapSize	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS	535.309.01	575.64.05	0+2068
sizeof	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS	580.65.06	615.71.09	0+2112
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap	535.309.01	575.64.05	2052+14@2
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap	580.65.06	615.71.09	2056+56@8
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[]	535.309.01	575.64.05	2052+2
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[]	580.65.06	615.71.09	2056+8
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeEnd	535.309.01	575.64.05	2053+1
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeEnd	580.65.06	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeMask	535.309.01	575.64.05	ABSENT
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeMask	580.65.06	615.71.09	2056+8
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeStart	535.309.01	575.64.05	2052+1
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.subtreeMap[].subtreeStart	580.65.06	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table	535.309.01	615.71.09	4+2048@16
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.tableLen	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table[]	535.309.01	615.71.09	4+16
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table[].engineIdx	535.309.01	615.71.09	4+2
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table[].pmcIntrMask	535.309.01	615.71.09	8+4
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table[].vectorNonStall	535.309.01	615.71.09	16+4
field	NV2080_CTRL_INTERNAL_INTR_GET_KERNEL_TABLE_PARAMS.table[].vectorStall	535.309.01	615.71.09	12+4
sizeof	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS	535.309.01	545.23.08	0+56
sizeof	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS	550.40.07	615.71.09	0+40
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bDisableCompbitBacking	535.309.01	615.71.09	3+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bDisablePlcForCertainOffsetsBug3046774	535.309.01	545.23.08	44+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bDisablePlcForCertainOffsetsBug3046774	550.40.07	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bDisablePostL2Compression	535.309.01	615.71.09	4+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bEnabledEccFBPA	535.309.01	615.71.09	5+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bFbpaPresent	535.309.01	545.23.08	17+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bFbpaPresent	550.40.07	615.71.09	16+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bL2PreFill	535.309.01	615.71.09	6+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bOneToOneComptagLineAllocation	535.309.01	615.71.09	0+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bReservedMemAtBottom	535.309.01	545.23.08	16+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bReservedMemAtBottom	550.40.07	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bUseOneToFourComptagLineAllocation	535.309.01	615.71.09	1+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.bUseRawModeComptaglineAllocation	535.309.01	615.71.09	2+1
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.comprPageShift	535.309.01	615.71.09	24+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.comprPageSize	535.309.01	615.71.09	20+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.fbOverrideStartKb	535.309.01	545.23.08	48+8
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.fbOverrideStartKb	550.40.07	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.l2CacheSize	535.309.01	615.71.09	8+8
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ltcCount	535.309.01	545.23.08	36+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ltcCount	550.40.07	615.71.09	32+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ltsPerLtcCount	535.309.01	545.23.08	40+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ltsPerLtcCount	550.40.07	615.71.09	36+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.maximumBlacklistPages	535.309.01	545.23.08	28+2
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.maximumBlacklistPages	550.40.07	615.71.09	ABSENT
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ramType	535.309.01	545.23.08	32+4
field	NV2080_CTRL_INTERNAL_MEMSYS_GET_STATIC_CONFIG_PARAMS.ramType	550.40.07	615.71.09	28+4
sizeof	NV2080_CTRL_INTERNAL_MEMSYS_L2_INVALIDATE_EVICT_PARAMS	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_MEMSYS_L2_INVALIDATE_EVICT_PARAMS.flags	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CAPS_PARAMS	535.309.01	615.71.09	0+184
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CAPS_PARAMS.engineCaps	535.309.01	615.71.09	0+184@23
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CAPS_PARAMS.engineCaps[]	535.309.01	615.71.09	0+23
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CAPS_PARAMS.engineCaps[].capsTbl	535.309.01	615.71.09	0+23@1
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS	535.309.01	545.23.08	0+1600
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS	550.40.07	615.71.09	0+1664
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo	535.309.01	545.23.08	0+1600@200
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo	550.40.07	615.71.09	0+1664@208
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[]	535.309.01	545.23.08	0+200
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[]	550.40.07	615.71.09	0+208
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[].engine	535.309.01	545.23.08	0+200@8
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[].engine	550.40.07	615.71.09	0+208@8
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[].engine[]	535.309.01	615.71.09	0+8
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[].engine[].alignment	535.309.01	615.71.09	4+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_CONTEXT_BUFFERS_INFO_PARAMS.engineContextBuffersInfo[].engine[].size	535.309.01	615.71.09	0+4
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS	535.309.01	615.71.09	0+256
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines	535.309.01	615.71.09	0+256@32
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[]	535.309.01	615.71.09	0+32
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[].fecsRecordSize	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[].numLowerBitsZeroShift	535.309.01	615.71.09	24+1
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[].timestampHiTagMask	535.309.01	615.71.09	4+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[].timestampHiTagShift	535.309.01	615.71.09	8+1
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FECS_TRACE_DEFINES_PARAMS.fecsTraceDefines[].timestampVMask	535.309.01	615.71.09	16+8
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS	535.309.01	575.64.05	0+2368
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS	580.65.06	590.48.01	0+3008
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS	595.84	595.84	0+5568
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS	610.43.02	610.57.04	0+10688
sizeof	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS	615.71.09	615.71.09	0+10848
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks	535.309.01	575.64.05	0+2368@296
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks	580.65.06	590.48.01	0+3008@376
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks	595.84	595.84	0+5568@696
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks	610.43.02	610.57.04	0+10688@1336
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks	615.71.09	615.71.09	0+10848@1356
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[]	535.309.01	575.64.05	0+296
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[]	580.65.06	590.48.01	0+376
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[]	595.84	595.84	0+696
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[]	610.43.02	610.57.04	0+1336
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[]	615.71.09	615.71.09	0+1356
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].gpcMask	535.309.01	615.71.09	0+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].mmuPerGpc	535.309.01	575.64.05	104+48@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].mmuPerGpc	580.65.06	590.48.01	136+64@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].mmuPerGpc	595.84	595.84	264+128@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].mmuPerGpc	610.43.02	615.71.09	520+256@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numGfxTpc	535.309.01	575.64.05	292+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numGfxTpc	580.65.06	590.48.01	372+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numGfxTpc	595.84	595.84	692+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numGfxTpc	610.43.02	610.57.04	1332+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numGfxTpc	615.71.09	615.71.09	1352+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numPesPerGpc	535.309.01	575.64.05	192+48@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numPesPerGpc	580.65.06	590.48.01	240+64@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numPesPerGpc	595.84	595.84	432+128@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numPesPerGpc	610.43.02	610.57.04	816+256@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].numPesPerGpc	615.71.09	615.71.09	836+256@4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGfxGpcMask	535.309.01	575.64.05	288+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGfxGpcMask	580.65.06	590.48.01	368+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGfxGpcMask	595.84	595.84	688+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGfxGpcMask	610.43.02	610.57.04	1328+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGfxGpcMask	615.71.09	615.71.09	1348+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGpcMask	535.309.01	575.64.05	100+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGpcMask	580.65.06	590.48.01	132+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGpcMask	595.84	595.84	260+4
field	NV2080_CTRL_INTERNAL_STATIC_KGR_GET_FLOORSWEEPING_MASKS_PARAMS.floorsweepingMasks[].physGpcMask	610.43.02	615.71.09	516+4
