# kind	item	first_tag	last_tag	value    (measured by tools/drivermatrix/dm.py; tags 535.309.01..615.71.09, 29 of them)
# tags	535.309.01 545.23.08 550.40.07 550.54.14 550.90.07 555.42.02 560.28.03 565.57.01 570.86.15 570.124.06 570.148.08 575.51.02 575.51.03 575.57.08 575.64.05 580.65.06 580.82.07 580.94.02 580.95.05 580.105.08 580.126.09 580.159.04 580.173.02 580.178.04 590.48.01 595.84 610.43.02 610.57.04 615.71.09
field	GSP_ARGUMENTS_CACHED.messageQueueInitArguments.sharedMemPhysAddr	615.71.09	615.71.09	24+8
field	GSP_ARGUMENTS_CACHED.messageQueueInitArguments.statQueueOffset	535.309.01	610.57.04	24+8
field	GSP_ARGUMENTS_CACHED.messageQueueInitArguments.statQueueOffset	615.71.09	615.71.09	40+8
field	GSP_ARGUMENTS_CACHED.profilerArgs	535.309.01	550.90.07	64+16
field	GSP_ARGUMENTS_CACHED.profilerArgs	555.42.02	565.57.01	48+16
field	GSP_ARGUMENTS_CACHED.profilerArgs	570.86.15	590.48.01	56+16
field	GSP_ARGUMENTS_CACHED.profilerArgs	595.84	610.57.04	88+16
field	GSP_ARGUMENTS_CACHED.profilerArgs	615.71.09	615.71.09	104+16
field	GSP_ARGUMENTS_CACHED.profilerArgs.pa	535.309.01	550.90.07	64+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.pa	555.42.02	565.57.01	48+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.pa	570.86.15	590.48.01	56+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.pa	595.84	610.57.04	88+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.pa	615.71.09	615.71.09	104+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.size	535.309.01	550.90.07	72+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.size	555.42.02	565.57.01	56+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.size	570.86.15	590.48.01	64+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.size	595.84	610.57.04	96+8
field	GSP_ARGUMENTS_CACHED.profilerArgs.size	615.71.09	615.71.09	112+8
field	GSP_ARGUMENTS_CACHED.reserved	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.reserved	615.71.09	615.71.09	6+2@1
field	GSP_ARGUMENTS_CACHED.reserved2	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.reserved2	615.71.09	615.71.09	96+4@1
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs	535.309.01	590.48.01	ABSENT
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs	595.84	610.57.04	120+16
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs	615.71.09	615.71.09	136+16
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.pa	535.309.01	590.48.01	ABSENT
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.pa	595.84	610.57.04	120+8
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.pa	615.71.09	615.71.09	136+8
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.size	535.309.01	590.48.01	ABSENT
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.size	595.84	610.57.04	128+8
field	GSP_ARGUMENTS_CACHED.rmStateMonitorBufferArgs.size	615.71.09	615.71.09	144+8
field	GSP_ARGUMENTS_CACHED.size	535.309.01	610.57.04	ABSENT
field	GSP_ARGUMENTS_CACHED.size	615.71.09	615.71.09	4+2
field	GSP_ARGUMENTS_CACHED.srInitArguments	535.309.01	550.90.07	48+12
field	GSP_ARGUMENTS_CACHED.srInitArguments	555.42.02	590.48.01	32+12
field	GSP_ARGUMENTS_CACHED.srInitArguments	595.84	610.57.04	64+12
field	GSP_ARGUMENTS_CACHED.srInitArguments	615.71.09	615.71.09	80+16
field	GSP_ARGUMENTS_CACHED.srInitArguments.bInPMTransition	535.309.01	550.90.07	56+1
field	GSP_ARGUMENTS_CACHED.srInitArguments.bInPMTransition	555.42.02	590.48.01	40+1
field	GSP_ARGUMENTS_CACHED.srInitArguments.bInPMTransition	595.84	610.57.04	72+1
field	GSP_ARGUMENTS_CACHED.srInitArguments.bInPMTransition	615.71.09	615.71.09	ABSENT
field	GSP_ARGUMENTS_CACHED.srInitArguments.flags	535.309.01	550.90.07	52+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.flags	555.42.02	590.48.01	36+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.flags	595.84	610.57.04	68+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.flags	615.71.09	615.71.09	84+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.oldLevel	535.309.01	550.90.07	48+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.oldLevel	555.42.02	590.48.01	32+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.oldLevel	595.84	610.57.04	64+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.oldLevel	615.71.09	615.71.09	80+4
field	GSP_ARGUMENTS_CACHED.srInitArguments.reserved	535.309.01	610.57.04	ABSENT
