# ★ GENERATED by tools/derive_hwref.sh from ogkm 580.159.04 (b81d58e) with tools/hwref_spec.txt — regenerate, never edit.
# columns: dir<TAB>header<TAB>name<TAB>value — value is 0x<hex> (a value), <hi>:<lo> (a bit range, aperture
# or structure-bit range; decimal below 4096), mw:<hi>:<lo> (a multi-word field), off=0x<n> / size=0x<n> / absent
# (a struct member). Family resolution (which dir a family compiles against) lives in kf_chip::hwref.
ampere/ga100	dev_ctrl.h	NV_CTRL_VF_DOORBELL_RUNLIST_ID	22:16
ampere/ga100	dev_ctrl.h	NV_CTRL_VF_DOORBELL_VECTOR	11:0
ampere/ga100	dev_riscv_pri.h	NV_FALCON2_GSP_BASE	0x111000
ampere/ga100	dev_mmu.h	NV_MMU_PTE_KIND_GENERIC_MEMORY_COMPRESSIBLE_DISABLE_PLC	0x9
ampere/ga100	dev_mmu.h	NV_MMU_PTE_KIND_SMSKED_MESSAGE	0xf
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK	0x1704
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_MAP	29:0
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_MODE	31:31
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_MODE_PHYSICAL	0x0
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_MODE_VIRTUAL	0x1
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_PTR	27:0
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_PTR_0	0x0
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_PTR_SHIFT	0xc
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_TARGET	29:28
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_TARGET_SYS_MEM_COHERENT	0x2
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_TARGET_SYS_MEM_NONCOHERENT	0x3
ampere/ga100	dev_bus.h	NV_PBUS_BAR1_BLOCK_TARGET_VID_MEM	0x0
ampere/ga100	dev_bus.h	NV_PBUS_SW_SCRATCH(0)	0x1400
ampere/ga100	dev_bus.h	NV_PBUS_SW_SCRATCH(1)	0x1404
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH1_SMC_MODE	15:15
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH1_SMC_MODE_OFF	0x0
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH1_SMC_MODE_ON	0x1
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH30_GPU_DRAIN_AND_RESET_RECOMMENDED	1:1
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH30_GPU_DRAIN_AND_RESET_RECOMMENDED_NO	0x0
ampere/ga100	dev_bus_addendum.h	NV_PBUS_SW_SCRATCH30_GPU_DRAIN_AND_RESET_RECOMMENDED_YES	0x1
ampere/ga100	dev_bus.h	NV_PBUS_SW_SCRATCH_FIELD	31:0
ampere/ga100	dev_bus.h	NV_PBUS_SW_SCRATCH_FIELD_INIT	0x0
ampere/ga100	dev_bus.h	NV_PBUS_SW_SCRATCH__SIZE_1	0x40
ampere/ga100	dev_nv_xve.h	NV_PCFG	0x88fff:0x88000
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_BOOTVEC	0x104
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL	0x100
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS	0x130
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_EN	6:6
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_EN_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_EN_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_STARTCPU	1:1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_STARTCPU_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_ALIAS_STARTCPU_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_HALTED	4:4
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_HALTED_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_STARTCPU	1:1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_STARTCPU_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_CPUCTL_STARTCPU_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DEBUGINFO	0x94
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL	0x10c
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_DMEM_SCRUBBING	1:1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_DMEM_SCRUBBING_DONE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_IMEM_SCRUBBING	2:2
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_IMEM_SCRUBBING_DONE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_REQUIRE_CTX	0:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMACTL_REQUIRE_CTX_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFBASE	0x110
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFBASE1	0x128
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFBASE1_BASE	8:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFBASE_BASE	31:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD	0x118
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_CTXDMA	14:12
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_FULL	0:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_FULL_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_IDLE	1:1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_IDLE_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_IMEM	4:4
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_IMEM_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_IMEM_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_SEC	3:2
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_SET_DMTAG	16:16
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_SET_DMTAG_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_SIZE	10:8
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_SIZE_256B	0x6
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_WRITE	5:5
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_WRITE_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFCMD_WRITE_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFFBOFFS	0x11c
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFFBOFFS_OFFS	31:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFMOFFS	0x114
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMATRFMOFFS_OFFS	23:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC(0)	0x1c0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC(1)	0x1c8
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC_AINCW	24:24
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC_AINCW_FALSE	0x0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC_AINCW_TRUE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC_BLK	23:8
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMC_OFFS	7:2
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMD(0)	0x1c4
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMD(1)	0x1cc
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_DMEMD_DATA	31:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_HWCFG	0x108
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_HWCFG2	0xf4
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_HWCFG2_RISCV	10:10
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_HWCFG2_RISCV_ENABLE	0x1
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_HWCFG_IMEM_SIZE	8:0
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_IMEMC(0)	0x180
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_IMEMC(1)	0x190
ampere/ga100	dev_falcon_v4.h	NV_PFALCON_FALCON_IMEMC_AINCW	24:24
